time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,RAM,SWAP,EMC,GPU,APE,CVNAS,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVDEC1,NVENC,NVENC1,NVJPG,PVA0_AXI,PVA0_VPS0,PVA0_VPS1,PVA1_AXI,PVA1_VPS0,PVA1_VPS1,SE,VIC,Fan pwmfan0,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp Tboard,Temp Tdiode,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model
18:10.8,"35 days, 20:02:04.890000",3,1,3,5,0,5,6,7,0.030813022,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.5,34.3,464,5437,OFF,MODE_30W_ALL
18:11.8,"35 days, 20:02:05.890000",4,0,4,5,3,1,9,3,0.030805086,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.5,34.3,464,5437,OFF,MODE_30W_ALL
18:12.8,"35 days, 20:02:06.890000",4,2,7,0,0,3,4,7,0.030773343,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.5,34.3,464,5437,OFF,MODE_30W_ALL
18:13.8,"35 days, 20:02:07.890000",3,2,1,6,0,4,6,5,0.030789215,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.5,34.3,464,5437,OFF,MODE_30W_ALL
18:14.8,"35 days, 20:02:08.890000",2,0,1,3,5,4,6,3,0.030805086,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:15.8,"35 days, 20:02:09.890000",2,1,5,0,3,4,3,8,0.030805086,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,35,35,34,36.5,34.3,464,5437,OFF,MODE_30W_ALL
18:16.8,"35 days, 20:02:10.890000",5,2,4,1,3,6,3,5,0.030773343,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.75,34.6,464,5437,OFF,MODE_30W_ALL
18:17.8,"35 days, 20:02:11.890000",3,2,11,2,5,0,3,4,0.030789466,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.75,34.6,464,5437,OFF,MODE_30W_ALL
18:18.8,"35 days, 20:02:12.900000",3,0,10,0,2,3,3,7,0.030741348,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.75,34.6,464,5436,OFF,MODE_30W_ALL
18:19.8,"35 days, 20:02:13.900000",5,2,9,0,3,0,2,4,0.030733412,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,35,35,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:20.8,"35 days, 20:02:14.900000",3,1,8,0,3,1,2,6,0.030717541,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,35,35,34,37,34.3,464,5437,OFF,MODE_30W_ALL
18:21.8,"35 days, 20:02:15.900000",2,2,8,0,3,1,7,3,0.03075722,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:22.8,"35 days, 20:02:16.900000",2,2,9,1,5,0,4,6,0.030717289,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:23.8,"35 days, 20:02:17.900000",3,0,9,0,2,0,6,6,0.030701417,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,37,34.3,464,5437,OFF,MODE_30W_ALL
18:24.8,"35 days, 20:02:18.900000",2,1,9,1,2,3,2,6,0.03074878,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,35,35,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:25.8,"35 days, 20:02:19.900000",2,1,9,0,2,3,7,3,0.03073316,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,35,35,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:26.8,"35 days, 20:02:20.900000",0,2,10,0,3,5,1,7,0.030778508,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,35,35,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:27.8,"35 days, 20:02:21.900000",1,0,9,0,2,2,4,6,0.030749032,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33.5,34,34.5,34.5,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:28.8,"35 days, 20:02:22.900000",2,1,10,0,0,3,4,6,0.03073316,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,34.5,34.5,34,36.75,34.3,464,5437,OFF,MODE_30W_ALL
18:29.8,"35 days, 20:02:23.900000",1,1,7,3,3,3,3,5,0.030764903,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,33,34,35,35,34,37,34.6,464,5437,OFF,MODE_30W_ALL
